1,1,00:22:59.5
4,2,00:23:36.4
27,3,00:33:10.6
8,4,00:34:02.7
11,5,00:35:04.2
22,6,00:35:05.2
6,7,00:37:03.5
11,1,00:28:6.4
1,2,00:28:07.2
13,3,00:33:18.7
22,4,00:33:19.5
27,5,00:35:56.3
6,6,00:36:19.4
4,7,00:36:20.4
22,1,00:27:15.4
1,2,00:27:16.4
11,3,00:35:29.5
4,4,00:35:31.5
24,5,00:35:37.6
27,6,00:37:27.4
6,7,00:39:21.8
3,8,00:44:30.3
9,9,00:44:30.4
1,1,00:24:45.5
11,2,00:24:46.9
8,3,00:24:55.9
27,4,00:25:35.5
24,5,00:27:00.5
13,6,00:31:35.6
4,7,00:32:23.4
9,8,00:38:22.3
22,9,00:38:39.4
44,10,00:38:41.2
1,1,00:23:57.3
4,2,00:23:58.3
11,3,00:25:07.6
13,4,00:27:30.9
26,5,00:34:36.6
22,6,00:34:37.5
1,1,00:27:20.1
11,2,00:27:22.0
6,3,00:36:51.3
13,4,00:36:53.6
1,1,00:23:32.8
4,2,00:23:33.9
11,3,00:25:37.0
13,4,00:28:10.8
3,5,00:29:46.1
22,6,00:31:59.5
6,7,00:38:28.0
4,1,00:23:38.2
6,2,00:24:02.0
1,3,00:24:03.4
11,4,00:25:48.4
9,5,00:33:51.3
37,6,00:35:22.9
1,1,00:22:57.8
4,2,00:23:39.4
15,3,00:28:37.5
22,4,00:29:57.5
27,5,00:30:24.3
12,6,00:33:52.7
13,7,00:33:54.2
6,8,00:33:55.4
37,9,00:37:26.1
9,10,00:38:56.4
8,11,00:39:00.9
3,12,00:59:20.6
11,13,00:59:21.8
1,1,00:25:11.8
22,2,00:25:14.4
11,3,00:25:15.4
12,4,00:28:33.2
13,5,00:28:52.1
1,1,00:24:37.0
22,2,00:24:40.0
11,3,00:25:01.3
24,4,00:26:09.9
100,5,00:26:16.4
3,6,00:31:01.5
25,7,00:38:01.5
99,1,00:30:43.0
100,2,00:30:44.8
12,3,00:39:12.0
1,4,00:51:07.6
4,5,00:51:31.4
11,6,00:57:45.3
22,7,01:01:04.6
37,8,01:6:35.1
1,1,00:28:25.9
11,2,00:28:28.6
4,3,00:34:50.1
1,1,00:23:59.4
4,2,00:24:00.9
11,3,00:25:35.8
12,4,00:25:37.4
21,5,00:26:14.2
6,6,00:26:45.6
24,7,00:30:32.8
13,8,00:42:50.6
44,9,00:42:52.8
22,10,00:42:59.8
25,11,00:43:02.3
11,1,00:30:19.7
12,2,00:35:27.8
1,3,00:38:24.1
2,4,00:38:26.8
3,1,00:26:27.3
1,2,00:26:28.1
11,3,00:27:59.9
13,4,00:28:01.4
26,5,00:29:58.1
99,6,00:32:12.8
100,7,00:34:03.3
2,8,00:34:8.1
9,9,00:46:47.3
44,10,00:46:49.2
1,1,00:26:37.8
22,2,00:26:41.4
3,3,00:33:14.2
45,4,00:35:31.6
26,5,00:36:21.7
1,1,00:26:19.0
2,2,00:26:20.0
3,3,00:33:8.0
1,1,00:24:18.6
4,2,00:24:21.6
21,3,00:27:31.6
25,4,00:27:33.6
11,5,00:27:51.4
3,6,00:27:52.5
27,7,00:35:22.8
26,8,00:37:03.8
99,9,00:37:6.1
26,1,00:23:09.5
1,2,00:24:38.6
21,3,00:26:29.6
11,4,00:26:30.5
4,5,00:26:31.0
